File,Category,IsSecurity,SupportCount,Tools,SuggestedClassification,IsTruePositive,RuleIDs,Examples,Sources,Confidence
14.deployment_single_replica.yaml,CAP_SYS_ADMIN,True,3,"Checkov,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_37,CapabilityOrSecurityContextMissing,KSV003,KSV004,KSV106",Minimize the admission of containers with capabilities assigned | CapabilityOrSecurityContextMissing | Default capabilities: some containers do not drop all,original,15
14.deployment_single_replica.yaml,DEFAULT_NAMESPACE,True,2,"Conftest,Trivy",Actual (Correct),yes,"KSV110,KSV118",Conftest | Workloads in the default namespace | Default security context configured,original,12
14.deployment_single_replica.yaml,HARD_CODED_CREDS,True,1,KubeAudit,Actual (Correct),yes,AutomountServiceAccountTokenTrueAndDefaultSA,AutomountServiceAccountTokenTrueAndDefaultSA,original,3
14.deployment_single_replica.yaml,IMAGE_LATEST,True,2,"Checkov,Trivy",Actual (Correct),yes,"CKV_K8S_14,KSV013","Image Tag should be fixed - not latest or blank | Image tag "":latest"" used",original,6
14.deployment_single_replica.yaml,NO_APPARMOR,True,1,KubeAudit,Actual (Correct),yes,AppArmorAnnotationMissing,AppArmorAnnotationMissing,original,3
14.deployment_single_replica.yaml,NO_PROBES,False,1,Checkov,Actual (Correct),yes,CKV_K8S_8,Liveness Probe Should be Configured,original,3
14.deployment_single_replica.yaml,NO_RES_LIMITS,False,1,Checkov,Actual (Correct),yes,"CKV_K8S_10,CKV_K8S_11,CKV_K8S_12,CKV_K8S_13",CPU requests should be set | CPU limits should be set | Memory limits should be set,original,12
14.deployment_single_replica.yaml,NO_SECCOMP,True,3,"Checkov,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_31,KSV104,SeccompProfileMissing",Ensure that the seccomp profile is set to docker/default or runtime/default | SeccompProfileMissing | Seccomp policies disabled,original,9
14.deployment_single_replica.yaml,PRIVILEGED,True,1,Checkov,Actual (Correct),yes,CKV_K8S_22,Use read-only filesystem for containers where possible,original,3
14.deployment_single_replica.yaml,PRIV_ESCALATION,True,1,KubeAudit,Actual (Correct),yes,AllowPrivilegeEscalationNil,AllowPrivilegeEscalationNil,original,3
14.deployment_single_replica.yaml,READONLY_ROOTFS_FALSE,True,1,KubeAudit,Actual (Correct),yes,ReadOnlyRootFilesystemNil,ReadOnlyRootFilesystemNil,original,3
14.deployment_single_replica.yaml,RUN_AS_NONROOT_FALSE,True,3,"Conftest,KubeAudit,Trivy",Actual (Correct),yes,"KSV012,RunAsNonRootPSCNilCSCNil",Conftest | RunAsNonRootPSCNilCSCNil | Runs as root user,original,9
14.deployment_single_replica.yaml,SCHEMA_INVALID,False,1,KubeConform,Actual (Correct),yes,,single-replica-deployment,original,2
14.genkubesec_privileged_pod.yaml,CAP_SYS_ADMIN,True,3,"Checkov,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_37,CapabilityOrSecurityContextMissing,KSV003,KSV004,KSV106",Minimize the admission of containers with capabilities assigned | CapabilityOrSecurityContextMissing | Default capabilities: some containers do not drop all,original,15
14.genkubesec_privileged_pod.yaml,DEFAULT_NAMESPACE,True,2,"Conftest,Trivy",Actual (Correct),yes,"KSV110,KSV118",Conftest | Workloads in the default namespace | Default security context configured,original,9
14.genkubesec_privileged_pod.yaml,HARD_CODED_CREDS,True,1,KubeAudit,Actual (Correct),yes,AutomountServiceAccountTokenTrueAndDefaultSA,AutomountServiceAccountTokenTrueAndDefaultSA,original,3
14.genkubesec_privileged_pod.yaml,IMAGE_LATEST,True,2,"Checkov,Trivy",Actual (Correct),yes,"CKV_K8S_14,KSV013","Image Tag should be fixed - not latest or blank | Image tag "":latest"" used",original,6
14.genkubesec_privileged_pod.yaml,NO_APPARMOR,True,1,KubeAudit,Actual (Correct),yes,AppArmorAnnotationMissing,AppArmorAnnotationMissing,original,3
14.genkubesec_privileged_pod.yaml,NO_PROBES,False,1,Checkov,Actual (Correct),yes,CKV_K8S_8,Liveness Probe Should be Configured,original,3
14.genkubesec_privileged_pod.yaml,NO_RES_LIMITS,False,1,Checkov,Actual (Correct),yes,"CKV_K8S_10,CKV_K8S_11,CKV_K8S_12,CKV_K8S_13",CPU requests should be set | CPU limits should be set | Memory limits should be set,original,12
14.genkubesec_privileged_pod.yaml,NO_SECCOMP,True,4,"Checkov,Conftest,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_31,KSV104,SeccompProfileMissing",Ensure that the seccomp profile is set to docker/default or runtime/default | Conftest | SeccompProfileMissing,original,12
14.genkubesec_privileged_pod.yaml,PRIVILEGED,True,3,"Checkov,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_22,KSV017,PrivilegedTrue",Use read-only filesystem for containers where possible | PrivilegedTrue | Privileged,original,9
14.genkubesec_privileged_pod.yaml,PRIV_ESCALATION,True,1,KubeAudit,Actual (Correct),yes,AllowPrivilegeEscalationNil,AllowPrivilegeEscalationNil,original,3
14.genkubesec_privileged_pod.yaml,READONLY_ROOTFS_FALSE,True,1,KubeAudit,Actual (Correct),yes,ReadOnlyRootFilesystemNil,ReadOnlyRootFilesystemNil,original,3
14.genkubesec_privileged_pod.yaml,RUN_AS_NONROOT_FALSE,True,3,"Conftest,KubeAudit,Trivy",Actual (Correct),yes,"KSV012,RunAsNonRootPSCNilCSCNil",Conftest | RunAsNonRootPSCNilCSCNil | Runs as root user,original,9
14.genkubesec_privileged_pod.yaml,SCHEMA_INVALID,False,1,KubeConform,Actual (Correct),yes,,pod-name,original,2
14.ingress_deprecated_api.yaml,DEFAULT_NAMESPACE,True,1,Conftest,Actual (Correct),yes,,Conftest,original,3
14.ingress_deprecated_api.yaml,SCHEMA_INVALID,False,1,KubeConform,Actual (Correct),yes,,gateway-ingress,original,2
15.pod_privilege_escalation.yaml,CAP_SYS_ADMIN,True,3,"Checkov,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_37,CapabilityOrSecurityContextMissing,KSV003,KSV004,KSV106",Minimize the admission of containers with capabilities assigned | CapabilityOrSecurityContextMissing | Default capabilities: some containers do not drop all,original,15
15.pod_privilege_escalation.yaml,DEFAULT_NAMESPACE,True,2,"Conftest,Trivy",Actual (Correct),yes,"KSV110,KSV118",Conftest | Workloads in the default namespace | Default security context configured,original,9
15.pod_privilege_escalation.yaml,HARD_CODED_CREDS,True,1,KubeAudit,Actual (Correct),yes,AutomountServiceAccountTokenTrueAndDefaultSA,AutomountServiceAccountTokenTrueAndDefaultSA,original,3
15.pod_privilege_escalation.yaml,IMAGE_LATEST,True,2,"Checkov,Trivy",Actual (Correct),yes,"CKV_K8S_14,KSV013","Image Tag should be fixed - not latest or blank | Image tag "":latest"" used",original,6
15.pod_privilege_escalation.yaml,NO_APPARMOR,True,1,KubeAudit,Actual (Correct),yes,AppArmorAnnotationMissing,AppArmorAnnotationMissing,original,3
15.pod_privilege_escalation.yaml,NO_PROBES,False,1,Checkov,Actual (Correct),yes,CKV_K8S_8,Liveness Probe Should be Configured,original,3
15.pod_privilege_escalation.yaml,NO_RES_LIMITS,False,1,Checkov,Actual (Correct),yes,"CKV_K8S_10,CKV_K8S_11,CKV_K8S_12,CKV_K8S_13",CPU requests should be set | CPU limits should be set | Memory limits should be set,original,12
15.pod_privilege_escalation.yaml,NO_SECCOMP,True,4,"Checkov,Conftest,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_31,KSV104,SeccompProfileMissing",Ensure that the seccomp profile is set to docker/default or runtime/default | Conftest | SeccompProfileMissing,original,12
15.pod_privilege_escalation.yaml,PRIVILEGED,True,1,Checkov,Actual (Correct),yes,CKV_K8S_22,Use read-only filesystem for containers where possible,original,3
15.pod_privilege_escalation.yaml,PRIV_ESCALATION,True,1,KubeAudit,Actual (Correct),yes,AllowPrivilegeEscalationTrue,AllowPrivilegeEscalationTrue,original,3
15.pod_privilege_escalation.yaml,READONLY_ROOTFS_FALSE,True,1,KubeAudit,Actual (Correct),yes,ReadOnlyRootFilesystemNil,ReadOnlyRootFilesystemNil,original,3
15.pod_privilege_escalation.yaml,RUN_AS_NONROOT_FALSE,True,3,"Conftest,KubeAudit,Trivy",Actual (Correct),yes,"KSV012,RunAsNonRootPSCNilCSCNil",Conftest | RunAsNonRootPSCNilCSCNil | Runs as root user,original,9
15.pod_privilege_escalation.yaml,SCHEMA_INVALID,False,1,KubeConform,Actual (Correct),yes,,example-pod,original,2
16.busybox_pod_missing_memory.yaml,CAP_SYS_ADMIN,True,3,"Checkov,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_37,CapabilityOrSecurityContextMissing,KSV003,KSV004,KSV106",Minimize the admission of containers with capabilities assigned | CapabilityOrSecurityContextMissing | Default capabilities: some containers do not drop all,original,15
16.busybox_pod_missing_memory.yaml,DEFAULT_NAMESPACE,True,1,Trivy,Actual (Correct),yes,KSV118,Default security context configured | Default security context configured,original,6
16.busybox_pod_missing_memory.yaml,HARD_CODED_CREDS,True,1,KubeAudit,Actual (Correct),yes,AutomountServiceAccountTokenTrueAndDefaultSA,AutomountServiceAccountTokenTrueAndDefaultSA,original,3
16.busybox_pod_missing_memory.yaml,NO_APPARMOR,True,1,KubeAudit,Actual (Correct),yes,AppArmorAnnotationMissing,AppArmorAnnotationMissing,original,3
16.busybox_pod_missing_memory.yaml,NO_PROBES,False,1,Checkov,Actual (Correct),yes,CKV_K8S_8,Liveness Probe Should be Configured,original,3
16.busybox_pod_missing_memory.yaml,NO_RES_LIMITS,False,1,Checkov,Actual (Correct),yes,"CKV_K8S_11,CKV_K8S_12,CKV_K8S_13",CPU limits should be set | Memory limits should be set | Memory requests should be set,original,9
16.busybox_pod_missing_memory.yaml,NO_SECCOMP,True,4,"Checkov,Conftest,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_31,KSV104,SeccompProfileMissing",Ensure that the seccomp profile is set to docker/default or runtime/default | Conftest | SeccompProfileMissing,original,12
16.busybox_pod_missing_memory.yaml,PRIVILEGED,True,1,Checkov,Actual (Correct),yes,CKV_K8S_22,Use read-only filesystem for containers where possible,original,3
16.busybox_pod_missing_memory.yaml,PRIV_ESCALATION,True,1,KubeAudit,Actual (Correct),yes,AllowPrivilegeEscalationNil,AllowPrivilegeEscalationNil,original,3
16.busybox_pod_missing_memory.yaml,READONLY_ROOTFS_FALSE,True,1,KubeAudit,Actual (Correct),yes,ReadOnlyRootFilesystemNil,ReadOnlyRootFilesystemNil,original,3
16.busybox_pod_missing_memory.yaml,RUN_AS_NONROOT_FALSE,True,3,"Conftest,KubeAudit,Trivy",Actual (Correct),yes,"KSV012,RunAsNonRootPSCNilCSCNil",Conftest | RunAsNonRootPSCNilCSCNil | Runs as root user,original,9
16.busybox_pod_missing_memory.yaml,SCHEMA_INVALID,False,1,KubeConform,Actual (Correct),yes,,busybox-pod,original,2
20.wordpress_mariadb_compose.yaml,SCHEMA_INVALID,False,1,KubeConform,Actual (Correct),yes,,error while parsing: missing 'kind' key,original,2
26.flink_port_mismatch.yaml,CAP_SYS_ADMIN,True,3,"Checkov,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_37,CapabilityOrSecurityContextMissing,KSV003,KSV004,KSV106",Minimize the admission of containers with capabilities assigned | CapabilityOrSecurityContextMissing | Default capabilities: some containers do not drop all,original,15
26.flink_port_mismatch.yaml,DEFAULT_NAMESPACE,True,2,"Conftest,Trivy",Actual (Correct),yes,"KSV0125,KSV110,KSV118",Conftest | Workloads in the default namespace | Default security context configured,original,15
26.flink_port_mismatch.yaml,HARD_CODED_CREDS,True,1,KubeAudit,Actual (Correct),yes,AutomountServiceAccountTokenTrueAndDefaultSA,AutomountServiceAccountTokenTrueAndDefaultSA,original,3
26.flink_port_mismatch.yaml,IMAGE_LATEST,True,2,"Checkov,Trivy",Actual (Correct),yes,"CKV_K8S_14,KSV013","Image Tag should be fixed - not latest or blank | Image tag "":latest"" used",original,6
26.flink_port_mismatch.yaml,NO_APPARMOR,True,1,KubeAudit,Actual (Correct),yes,AppArmorAnnotationMissing,AppArmorAnnotationMissing,original,3
26.flink_port_mismatch.yaml,NO_PROBES,False,1,Checkov,Actual (Correct),yes,CKV_K8S_8,Liveness Probe Should be Configured,original,3
26.flink_port_mismatch.yaml,NO_RES_LIMITS,False,1,Checkov,Actual (Correct),yes,"CKV_K8S_10,CKV_K8S_11,CKV_K8S_12,CKV_K8S_13",CPU requests should be set | CPU limits should be set | Memory limits should be set,original,12
26.flink_port_mismatch.yaml,NO_SECCOMP,True,3,"Checkov,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_31,KSV104,SeccompProfileMissing",Ensure that the seccomp profile is set to docker/default or runtime/default | SeccompProfileMissing | Seccomp policies disabled,original,9
26.flink_port_mismatch.yaml,PRIVILEGED,True,1,Checkov,Actual (Correct),yes,CKV_K8S_22,Use read-only filesystem for containers where possible,original,3
26.flink_port_mismatch.yaml,PRIV_ESCALATION,True,1,KubeAudit,Actual (Correct),yes,AllowPrivilegeEscalationNil,AllowPrivilegeEscalationNil,original,3
26.flink_port_mismatch.yaml,READONLY_ROOTFS_FALSE,True,1,KubeAudit,Actual (Correct),yes,ReadOnlyRootFilesystemNil,ReadOnlyRootFilesystemNil,original,3
26.flink_port_mismatch.yaml,RUN_AS_NONROOT_FALSE,True,3,"Conftest,KubeAudit,Trivy",Actual (Correct),yes,"KSV012,RunAsNonRootPSCNilCSCNil",Conftest | RunAsNonRootPSCNilCSCNil | Runs as root user,original,9
26.flink_port_mismatch.yaml,SCHEMA_INVALID,False,1,KubeConform,Actual (Correct),yes,,flink,original,2
27.kubeteus_misconfigured_policy.yaml,SCHEMA_INVALID,False,1,KubeConform,Actual (Correct),yes,,egress-product,original,2
28.role_overly_permissive.yaml,RBAC_OVER_PERMISSIVE,True,2,"Conftest,KubeConform",Actual (Correct),yes,,Conftest | frontend-role,original,5
29.helm_rabbitmq_hardcoded_credentials.yaml,SCHEMA_INVALID,False,1,KubeConform,Actual (Correct),yes,,error while parsing: missing 'kind' key,original,2
3.efs_plugin_misconfig.yaml,CAP_SYS_ADMIN,True,3,"Checkov,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_37,CapabilityOrSecurityContextMissing,KSV003,KSV004,KSV106",Minimize the admission of containers with capabilities assigned | CapabilityOrSecurityContextMissing | Default capabilities: some containers do not drop all,original,15
3.efs_plugin_misconfig.yaml,DEFAULT_NAMESPACE,True,2,"Conftest,Trivy",Actual (Correct),yes,"KSV0125,KSV110,KSV118",Conftest | Workloads in the default namespace | Default security context configured,original,12
3.efs_plugin_misconfig.yaml,HARD_CODED_CREDS,True,1,KubeAudit,Actual (Correct),yes,AutomountServiceAccountTokenTrueAndDefaultSA,AutomountServiceAccountTokenTrueAndDefaultSA,original,3
3.efs_plugin_misconfig.yaml,IMAGE_LATEST,True,1,Checkov,Actual (Correct),yes,CKV_K8S_15,Image Pull Policy should be Always,original,3
3.efs_plugin_misconfig.yaml,NO_APPARMOR,True,1,KubeAudit,Actual (Correct),yes,AppArmorAnnotationMissing,AppArmorAnnotationMissing,original,3
3.efs_plugin_misconfig.yaml,NO_PROBES,False,1,Checkov,Actual (Correct),yes,CKV_K8S_8,Liveness Probe Should be Configured,original,3
3.efs_plugin_misconfig.yaml,NO_RES_LIMITS,False,1,Checkov,Actual (Correct),yes,"CKV_K8S_10,CKV_K8S_11,CKV_K8S_12,CKV_K8S_13",CPU requests should be set | CPU limits should be set | Memory limits should be set,original,12
3.efs_plugin_misconfig.yaml,NO_SECCOMP,True,4,"Checkov,Conftest,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_31,KSV104,SeccompProfileMissing",Ensure that the seccomp profile is set to docker/default or runtime/default | Conftest | SeccompProfileMissing,original,12
3.efs_plugin_misconfig.yaml,PRIVILEGED,True,3,"Checkov,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_22,KSV017,PrivilegedTrue",Use read-only filesystem for containers where possible | PrivilegedTrue | Privileged,original,9
3.efs_plugin_misconfig.yaml,PRIV_ESCALATION,True,1,KubeAudit,Actual (Correct),yes,AllowPrivilegeEscalationNil,AllowPrivilegeEscalationNil,original,3
3.efs_plugin_misconfig.yaml,READONLY_ROOTFS_FALSE,True,1,KubeAudit,Actual (Correct),yes,ReadOnlyRootFilesystemNil,ReadOnlyRootFilesystemNil,original,3
3.efs_plugin_misconfig.yaml,RUN_AS_NONROOT_FALSE,True,3,"Conftest,KubeAudit,Trivy",Actual (Correct),yes,"KSV012,RunAsNonRootPSCNilCSCNil",Conftest | RunAsNonRootPSCNilCSCNil | Runs as root user,original,9
3.efs_plugin_misconfig.yaml,SCHEMA_INVALID,False,1,KubeConform,Actual (Correct),yes,,efs-plugin,original,2
3.multus_cni_misconfig.yaml,CNI_EMBEDDED_PRIVILEGED,True,1,Conftest,Actual (Correct),yes,,Conftest | Conftest,original,6
3.multus_cni_misconfig.yaml,SCHEMA_INVALID,False,1,KubeConform,Actual (Correct),yes,,multus-cni-config,original,2
3.nginx_pod_example.yaml,CAP_SYS_ADMIN,True,3,"Checkov,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_37,CapabilityOrSecurityContextMissing,KSV003,KSV004,KSV106",Minimize the admission of containers with capabilities assigned | CapabilityOrSecurityContextMissing | Default capabilities: some containers do not drop all,original,15
3.nginx_pod_example.yaml,DEFAULT_NAMESPACE,True,2,"Conftest,Trivy",Actual (Correct),yes,"KSV110,KSV118",Conftest | Workloads in the default namespace | Default security context configured,original,12
3.nginx_pod_example.yaml,HARD_CODED_CREDS,True,1,KubeAudit,Actual (Correct),yes,AutomountServiceAccountTokenTrueAndDefaultSA,AutomountServiceAccountTokenTrueAndDefaultSA,original,3
3.nginx_pod_example.yaml,IMAGE_LATEST,True,1,Checkov,Actual (Correct),yes,CKV_K8S_15,Image Pull Policy should be Always,original,3
3.nginx_pod_example.yaml,NO_APPARMOR,True,1,KubeAudit,Actual (Correct),yes,AppArmorAnnotationMissing,AppArmorAnnotationMissing,original,3
3.nginx_pod_example.yaml,NO_PROBES,False,1,Checkov,Actual (Correct),yes,CKV_K8S_8,Liveness Probe Should be Configured,original,3
3.nginx_pod_example.yaml,NO_RES_LIMITS,False,1,Checkov,Actual (Correct),yes,"CKV_K8S_10,CKV_K8S_11,CKV_K8S_12,CKV_K8S_13",CPU requests should be set | CPU limits should be set | Memory limits should be set,original,12
3.nginx_pod_example.yaml,NO_SECCOMP,True,4,"Checkov,Conftest,KubeAudit,Trivy",Actual (Correct),yes,"CKV_K8S_31,KSV104,SeccompProfileMissing",Ensure that the seccomp profile is set to docker/default or runtime/default | Conftest | SeccompProfileMissing,original,12
3.nginx_pod_example.yaml,PRIVILEGED,True,1,Checkov,Actual (Correct),yes,CKV_K8S_22,Use read-only filesystem for containers where possible,original,3
3.nginx_pod_example.yaml,PRIV_ESCALATION,True,1,KubeAudit,Actual (Correct),yes,AllowPrivilegeEscalationNil,AllowPrivilegeEscalationNil,original,3
3.nginx_pod_example.yaml,READONLY_ROOTFS_FALSE,True,1,KubeAudit,Actual (Correct),yes,ReadOnlyRootFilesystemNil,ReadOnlyRootFilesystemNil,original,3
3.nginx_pod_example.yaml,RUN_AS_NONROOT_FALSE,True,3,"Conftest,KubeAudit,Trivy",Actual (Correct),yes,"KSV012,RunAsNonRootPSCNilCSCNil",Conftest | RunAsNonRootPSCNilCSCNil | Runs as root user,original,9
3.nginx_pod_example.yaml,SCHEMA_INVALID,False,1,KubeConform,Actual (Correct),yes,,nginx,original,2
34.unencrypted_secret.yaml,HARD_CODED_CREDS,True,1,Conftest,Actual (Correct),yes,,Conftest | Conftest,original,6
34.unencrypted_secret.yaml,SCHEMA_INVALID,False,1,KubeConform,Actual (Correct),yes,,mysecret,original,2
C:/Users/Ahmed/OneDrive - GIU AS - German International University of Applied Sciences/Desktop/Bsc Thesis/Implementaions/SafeFixK8s/detection/C:/Users/Ahmed/OneDrive - GIU AS - German International University of Applied Sciences/Desktop/Bsc Thesis/Implementaions/SafeFixK8s/tests/14.ingress_deprecated_api.yaml,DEPRECATED_API,False,1,Pluto,Actual (Correct),yes,extensions/v1beta1,Ingress extensions/v1beta1,original,2
C:/Users/Ahmed/OneDrive - GIU AS - German International University of Applied Sciences/Desktop/Bsc Thesis/Implementaions/SafeFixK8s/tests/34.unencrypted_secret.yaml,HARD_CODED_CREDS,True,1,Gitleaks,Actual (Correct),yes,kubernetes-secret-yaml,kubernetes-secret-yaml,original,3
Deployment/apps/v1/flink,NO_RES_LIMITS,False,1,KubeScore,Needs corroboration,no,,container-resources,original,1
Deployment/apps/v1/flink,NO_SECCOMP,True,1,KubeScore,Needs corroboration,no,,container-seccomp-profile,original,1
Deployment/apps/v1/nginx-deployment,NO_RES_LIMITS,False,1,KubeScore,Needs corroboration,no,,container-resources,original,1
Deployment/apps/v1/nginx-deployment,NO_SECCOMP,True,1,KubeScore,Needs corroboration,no,,container-seccomp-profile,original,1
Deployment/apps/v1/single-replica-deployment,NO_RES_LIMITS,False,1,KubeScore,Needs corroboration,no,,container-resources,original,1
Deployment/apps/v1/single-replica-deployment,NO_SECCOMP,True,1,KubeScore,Needs corroboration,no,,container-seccomp-profile,original,1
Pod/v1,NO_RES_LIMITS,False,1,KubeScore,Needs corroboration,no,,container-resources,original,1
Pod/v1,NO_SECCOMP,True,1,KubeScore,Needs corroboration,no,,container-seccomp-profile,original,1
